home;away;date;gh;ga;full_time;home_ident;away_ident;winner;year;month
Deportivo Maldonado;Nacional;17/02/2002;1;3;F;Deportivo Maldonado (Uruguay);Nacional (Uruguay);V;2002;2
Plaza Colonia;Central Espanol;17/02/2002;1;2;F;Plaza Colonia (Uruguay);Central Espanol (Uruguay);V;2002;2
Tacuarembo Futbol Club;Bella Vista;17/02/2002;1;1;F;Tacuarembo Futbol Club (Uruguay);Bella Vista (Uruguay);E;2002;2
CA Penarol;CSyd Villa Espanola;22/02/2002;3;0;F;CA Penarol (Uruguay);CSyd Villa Espanola (Uruguay);L;2002;2
Paysandu FC;Danubio;23/02/2002;0;1;F;Paysandu FC (Uruguay);Danubio (Uruguay);V;2002;2
Racing Club;Defensor Sporting;23/02/2002;1;2;F;Racing Club (Uruguay);Defensor Sporting (Uruguay);V;2002;2
Bella Vista;Central Espanol;24/02/2002;1;1;F;Bella Vista (Uruguay);Central Espanol (Uruguay);E;2002;2
CA Fenix;Cerro Largo FC;24/02/2002;3;2;F;CA Fenix (Uruguay);Cerro Largo FC (Uruguay);L;2002;2
CA Juventud;Nacional;24/02/2002;2;1;F;CA Juventud (Uruguay);Nacional (Uruguay);L;2002;2
Deportivo Maldonado;CA Progreso;24/02/2002;4;1;F;Deportivo Maldonado (Uruguay);CA Progreso (Uruguay);L;2002;2
Plaza Colonia;Tacuarembo Futbol Club;24/02/2002;0;0;F;Plaza Colonia (Uruguay);Tacuarembo Futbol Club (Uruguay);E;2002;2
River Plate;Montevideo Wanderers;24/02/2002;1;3;F;River Plate (Uruguay);Montevideo Wanderers (Uruguay);V;2002;2
Racing Club;CA Penarol;26/02/2002;1;1;F;Racing Club (Uruguay);CA Penarol (Uruguay);E;2002;2
CA Juventud;CA Fenix;27/02/2002;0;1;F;CA Juventud (Uruguay);CA Fenix (Uruguay);V;2002;2
CA Progreso;Bella Vista;27/02/2002;2;2;F;CA Progreso (Uruguay);Bella Vista (Uruguay);E;2002;2
CSyd Villa Espanola;Cerro Largo FC;27/02/2002;2;2;F;CSyd Villa Espanola (Uruguay);Cerro Largo FC (Uruguay);E;2002;2
Danubio;River Plate;27/02/2002;1;0;F;Danubio (Uruguay);River Plate (Uruguay);L;2002;2
Deportivo Maldonado;Central Espanol;27/02/2002;0;1;F;Deportivo Maldonado (Uruguay);Central Espanol (Uruguay);V;2002;2
Nacional;Montevideo Wanderers;27/02/2002;4;1;F;Nacional (Uruguay);Montevideo Wanderers (Uruguay);L;2002;2
Paysandu FC;Plaza Colonia;27/02/2002;0;1;F;Paysandu FC (Uruguay);Plaza Colonia (Uruguay);V;2002;2
Tacuarembo Futbol Club;Defensor Sporting;27/02/2002;0;0;F;Tacuarembo Futbol Club (Uruguay);Defensor Sporting (Uruguay);E;2002;2
Cerro Largo FC;CA Penarol;02/03/2002;3;3;F;Cerro Largo FC (Uruguay);CA Penarol (Uruguay);E;2002;3
Montevideo Wanderers;Central Espanol;02/03/2002;4;1;F;Montevideo Wanderers (Uruguay);Central Espanol (Uruguay);L;2002;3
