date,home,away,winner,model,joint_log_E,log_probability_E,joint_log_L,log_probability_L,joint_log_V,log_probability_V
2025-03-16,Racing Club,Nacional,V,NB propio,-12.025492141063078,-1.5329011128280996,-12.925762509415023,-2.433171481180045,-10.854517524570642,-0.36192649633566454
2025-03-17,Cerro Largo FC,CA Cerro,E,NB propio,-12.1043539916082,-1.1659725449321687,-11.480775835037395,-0.5423943883613642,-13.173065365279571,-2.2346839186035403
2025-03-18,River Plate,Boston River,V,NB propio,-12.049761188686803,-0.8795144831401824,-12.230214733069786,-1.0599680275231655,-12.60342821808607,-1.4331815125394485
2025-03-20,Torque FC,CA Juventud,V,NB propio,-11.753189172657576,-2.014125242261848,-13.116633736764996,-3.3775698063692676,-9.922466921377232,-0.18340299098150403
2025-03-21,CA Penarol,Liverpool,V,NB propio,-12.516187524876393,-1.56219981777876,-12.95175274669532,-1.9977650395976863,-11.377584824071175,-0.4235971169735411
2025-03-22,Boston River,Racing Club,V,NB propio,-11.810296315695293,-0.9332302383637536,-12.3578511967915,-1.480785119459961,-11.846600161205716,-0.9695340838741764
2025-03-22,Nacional,Plaza Colonia,E,NB propio,-12.873471380331027,-1.9409272747128146,-11.234768186577133,-0.3022240809589203,-13.075932730513703,-2.14338862489549
2025-03-23,CA Cerro,Danubio,E,NB propio,-11.824420791595937,-0.9754227932047446,-11.559844585402622,-0.7108465870114298,-12.875931092791335,-2.0269330944001425
2025-03-23,CA Progreso,River Plate,L,NB propio,-12.343979683129692,-1.005352291782124,-12.092767311685508,-0.7541399203379395,-13.14853497507211,-1.8099075837245415
2025-03-23,Defensor Sporting,Cerro Largo FC,E,NB propio,-12.72124059571426,-2.3405794223645735,-10.505244760097344,-0.1245835867476579,-14.250405766433344,-3.8697445930836576
2025-03-24,Montevideo Wanderers,Miramar Misiones,V,NB propio,-11.572687160021825,-0.8727945661041012,-11.579078601707216,-0.8791860077894924,-12.489073839862327,-1.7891812459446026
2025-03-26,Cerro Largo FC,Torque FC,E,NB propio,-11.586674121997445,-0.89562641086947,-11.75519317603236,-1.064145464904385,-12.09093112772237,-1.3998834165943954
2025-03-26,Liverpool,Nacional,E,NB propio,-12.483938208687503,-1.3842627815212083,-11.99111862303572,-0.8914431958694244,-12.180168665794948,-1.0804932386286534
2025-03-26,Plaza Colonia,Boston River,V,NB propio,-11.843847979077182,-1.254711924685754,-11.059974235616803,-0.4708381812253748,-12.99305208128237,-2.4039160268909416
2025-03-26,Racing Club,River Plate,L,NB propio,-12.311926493711153,-1.6661982079146345,-10.914290528088548,-0.2685622422920293,-13.71278348195997,-3.0670551961634516
2025-03-27,CA Juventud,CA Penarol,V,NB propio,-12.628194391340847,-1.8546002872950673,-10.991909397340605,-0.21831529329482535,-14.002203084650105,-3.228608980604326
2025-03-27,Danubio,Defensor Sporting,E,NB propio,-12.105268629642964,-1.141354965520737,-13.006836777921713,-2.0429231137994854,-11.55999792665578,-0.5960842625335534
2025-03-27,Montevideo Wanderers,CA Progreso,E,NB propio,-11.696280794599494,-1.0624805691145607,-11.204429262083064,-0.570629036598131,-13.050307739980962,-2.416507514496029
2025-03-28,Miramar Misiones,CA Cerro,E,NB propio,-11.712981850572774,-0.9812689483534367,-12.195553842206383,-1.4638409399870458,-11.663577099704126,-0.9318641974847885
2025-03-29,Boston River,Liverpool,V,NB propio,-12.155883766730126,-2.165199477018099,-13.460167391942441,-3.4694831022304147,-10.148344648318723,-0.15766035860669625
2025-03-29,River Plate,Plaza Colonia,V,NB propio,-11.738197568450271,-0.9506151251602173,-12.45777338168195,-1.6701909383918956,-11.642576609625147,-0.8549941663350928
2025-03-30,CA Progreso,Racing Club,V,NB propio,-11.977219282399497,-1.6774277227833387,-12.86327476247375,-2.563483202857592,-10.606167192254247,-0.30637563263808865
2025-03-30,Nacional,CA Juventud,V,NB propio,-12.459721972482921,-1.5281379596842637,-11.458226637708119,-0.5266426249094618,-12.579366259930724,-1.6477822471320671
2025-03-30,Torque FC,Danubio,E,NB propio,-11.863942187868432,-0.9754612867622967,-12.44046158416521,-1.5519806830590746,-11.777269297627457,-0.8887883965213224
2025-03-31,CA Penarol,Cerro Largo FC,V,NB propio,-11.893808211436255,-1.185722979355262,-11.2308389452138,-0.5227537131328077,-12.994903991269668,-2.286818759188675
